"Common.name","Frequency","Biomass","IRD"
"Brown surgeonfish",81.59,6.28,512.07
"Black triggerfish",36.82,13.25,487.72
"Goldring surgeonfish",62.76,6.52,408.95
"Saddle wrasse",99.58,3.4,338.27
"Orangespine unicornfish",49.37,4.39,216.65
"Bullethead parrotfish",39.33,3.95,155.29
"Whitebar surgeonfish",28.87,5.1,147.27
"Redlip parrotfish",23.01,4.42,101.68
"Yellow Tang",34.31,2.68,92.1
"Convict tang",24.27,3.66,88.87
"Orangeband surgeonfish",31.38,2.72,85.23
"Palenose parrotfish",39.75,1.71,67.86
"Spectacled parrotfish",15.9,4.18,66.4
"Sergeant Major",17.57,3.42,60.13
"Pacific Gregory",69.46,0.76,52.83
"Manybar goatfish",48.95,0.87,42.38
"Blue spot grouper",23.43,1.75,40.99
"Bluespine unicornfish",9.62,3.58,34.42
"Reef triggerfish",34.73,0.96,33.28
"Blackfin chromis",48.12,0.59,28.29
